     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
100,0,0,3.42,pymatching,c980d989a73981a5630c0d4fd7593090b51e7c7f7826405ffb1aeb7d1a839555,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-25-0.04"",""q"":625,""r"":100,""scheme"":""LayerCycleoff""}",
100,0,0,1.52,pymatching,86d8f44e2ee0db24ec768532c1a11fd13a025e4cc1654f32738b6223fb8f2141,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-25-0.04"",""q"":676,""r"":104,""scheme"":""LayerCycleoff""}",
200,0,0,0.830,pymatching,c980d989a73981a5630c0d4fd7593090b51e7c7f7826405ffb1aeb7d1a839555,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-25-0.04"",""q"":625,""r"":100,""scheme"":""LayerCycleoff""}",
200,0,0,0.855,pymatching,c980d989a73981a5630c0d4fd7593090b51e7c7f7826405ffb1aeb7d1a839555,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-25-0.04"",""q"":625,""r"":100,""scheme"":""LayerCycleoff""}",
100,0,0,0.774,pymatching,c980d989a73981a5630c0d4fd7593090b51e7c7f7826405ffb1aeb7d1a839555,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-25-0.04"",""q"":625,""r"":100,""scheme"":""LayerCycleoff""}",
600,1,0,1.10,pymatching,c980d989a73981a5630c0d4fd7593090b51e7c7f7826405ffb1aeb7d1a839555,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-25-0.04"",""q"":625,""r"":100,""scheme"":""LayerCycleoff""}",
1200,0,0,1.50,pymatching,c980d989a73981a5630c0d4fd7593090b51e7c7f7826405ffb1aeb7d1a839555,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-25-0.04"",""q"":625,""r"":100,""scheme"":""LayerCycleoff""}",
4800,1,0,4.02,pymatching,c980d989a73981a5630c0d4fd7593090b51e7c7f7826405ffb1aeb7d1a839555,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-25-0.04"",""q"":625,""r"":100,""scheme"":""LayerCycleoff""}",
14400,5,0,10.6,pymatching,c980d989a73981a5630c0d4fd7593090b51e7c7f7826405ffb1aeb7d1a839555,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-25-0.04"",""q"":625,""r"":100,""scheme"":""LayerCycleoff""}",
21600,2,0,15.6,pymatching,c980d989a73981a5630c0d4fd7593090b51e7c7f7826405ffb1aeb7d1a839555,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-25-0.04"",""q"":625,""r"":100,""scheme"":""LayerCycleoff""}",
