     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         0,         0,    1.50,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       100,         0,         0,    1.19,pymatching,b14405e92ddd7ce0da34353afd1a1f190bb0e2d78b31ae0c300d0efc15eb45d2,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":676,""r"":104,""scheme"":""TimestepLayerCycleOff""}",
       100,         0,         0,    2.39,pymatching,7821e92fe0d8d2047c89293d6a6b708bacce25b1681d4126674ebb6468f5082d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       100,         0,         0,    1.14,pymatching,019710c02fd22b46cc24fe0568a1dcdf290eb850ea87b87b547b73fc51ff38db,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":676,""r"":104,""scheme"":""TimestepLayerCycleOff""}",
       200,         0,         0,   0.749,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       200,         0,         0,   0.757,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       100,         0,         0,    1.26,pymatching,f1ec37ecad7d8843d737459fc61204e47722f9950322a3a7619d9dd92726cf52,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":27,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":729,""r"":108,""scheme"":""TimestepLayerCycleOff""}",
       200,         0,         0,   0.783,pymatching,7821e92fe0d8d2047c89293d6a6b708bacce25b1681d4126674ebb6468f5082d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       100,         0,         0,    1.04,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       200,         0,         0,   0.794,pymatching,7821e92fe0d8d2047c89293d6a6b708bacce25b1681d4126674ebb6468f5082d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       100,         0,         0,    1.09,pymatching,7821e92fe0d8d2047c89293d6a6b708bacce25b1681d4126674ebb6468f5082d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       600,         0,         0,   0.872,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
      1000,         0,         0,   0.986,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       200,         0,         0,   0.892,pymatching,b14405e92ddd7ce0da34353afd1a1f190bb0e2d78b31ae0c300d0efc15eb45d2,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":676,""r"":104,""scheme"":""TimestepLayerCycleOff""}",
       800,         0,         0,    1.29,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       600,         1,         0,   0.959,pymatching,7821e92fe0d8d2047c89293d6a6b708bacce25b1681d4126674ebb6468f5082d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       600,         0,         0,   0.873,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       600,         0,         0,    1.27,pymatching,7821e92fe0d8d2047c89293d6a6b708bacce25b1681d4126674ebb6468f5082d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
      1000,         0,         0,    1.13,pymatching,7821e92fe0d8d2047c89293d6a6b708bacce25b1681d4126674ebb6468f5082d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       800,         0,         0,    1.04,pymatching,7821e92fe0d8d2047c89293d6a6b708bacce25b1681d4126674ebb6468f5082d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
      2400,         0,         0,    1.43,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
      1600,         0,         0,    1.18,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
      1200,         0,         0,    1.40,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
      1200,         0,         0,    1.25,pymatching,7821e92fe0d8d2047c89293d6a6b708bacce25b1681d4126674ebb6468f5082d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
      4400,         0,         0,    2.07,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
      2400,         0,         0,    1.76,pymatching,7821e92fe0d8d2047c89293d6a6b708bacce25b1681d4126674ebb6468f5082d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
      4800,         0,         0,    2.21,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
       600,         0,         0,    1.45,pymatching,b14405e92ddd7ce0da34353afd1a1f190bb0e2d78b31ae0c300d0efc15eb45d2,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":676,""r"":104,""scheme"":""TimestepLayerCycleOff""}",
      3600,         0,         0,    2.22,pymatching,9201bfa6f3d036232a1c1bcc6d8fc6331ca0247e62f458179991060d825ecf60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
      3600,         0,         0,    2.28,pymatching,7821e92fe0d8d2047c89293d6a6b708bacce25b1681d4126674ebb6468f5082d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
      5200,         1,         0,    2.91,pymatching,7821e92fe0d8d2047c89293d6a6b708bacce25b1681d4126674ebb6468f5082d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
      5600,         0,         0,    3.22,pymatching,7821e92fe0d8d2047c89293d6a6b708bacce25b1681d4126674ebb6468f5082d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
