     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         0,         0,    10.1,pymatching,5f3959af0b48a25d9eaee812de5363c805db490866fb774feddaee65f6c62779,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""Timestep_Cycleoff""}",
       100,         0,         0,    10.7,pymatching,b454c7121b20b9def81d18305b7f082d7ce6b82b822cd0daaa9dbb89ddef2f8c,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""Timestep_Cycleoff""}",
       100,         0,         0,    9.19,pymatching,18bf3b9a87e9f15ea89cb2869a173028540d40d5f5683a46abb07a41fa7adedd,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":676,""r"":104,""scheme"":""Timestep_Cycleoff""}",
       100,         0,         0,    9.82,pymatching,86ff0628557d8a0baf6f31f52afe8ab377c76326756df0ba9b7d11b63e669ff6,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":676,""r"":104,""scheme"":""Timestep_Cycleoff""}",
       100,         0,         0,    8.24,pymatching,179112dbc0ca774c7d7346105b61770f476259d722c3ab9506f27e6764cd0e75,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":27,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":729,""r"":108,""scheme"":""Timestep_Cycleoff""}",
       100,         0,         0,    8.81,pymatching,78c7a93de3315029d442d0d2e47e4fce54f6ac4eed271c46d6c93521e3969443,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":27,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":729,""r"":108,""scheme"":""Timestep_Cycleoff""}",
       100,         0,         0,    7.02,pymatching,5ef5b225813dd3c5c6b5cf044b3759fcc440b256ea67588d82bb607f3177f7e3,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":28,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":784,""r"":112,""scheme"":""Timestep_Cycleoff""}",
       100,         0,         0,    7.67,pymatching,ca49e1816d8d3d090896c106ddce6544e9291003bf08bbee4d8c5f3d9267054a,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":28,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":784,""r"":112,""scheme"":""Timestep_Cycleoff""}",
       100,         0,         0,    5.88,pymatching,5729c2e1398303dd284e43ffbe914540bfaa2d723c4326c236e5effca82d275d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":29,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":841,""r"":116,""scheme"":""Timestep_Cycleoff""}",
       100,         0,         0,    4.59,pymatching,bb3a162b36856e9c51a299dabe60735d0b572cdbfc1f0c2ef36c108df95d326a,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":30,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":900,""r"":120,""scheme"":""Timestep_Cycleoff""}",
       100,         0,         0,    7.01,pymatching,fc3225f146677b8dcb74c54054c1a165f12ced86e07776f9976f9867b79983f3,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":29,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":841,""r"":116,""scheme"":""Timestep_Cycleoff""}",
