     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         0,         0,    13.1,pymatching,2830907a7598962bb56c24cecfe624f8c2d3619c5a98454d4f537a4e1996cc9a,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    13.3,pymatching,00d26025ad58aef9c95af5e1256a0fc74e19144df13899d0f8460adb964837d2,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":7,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    13.7,pymatching,dc9592796157c662d5555936ea63d05c90c80d079c93ae44f1488ae820eca050,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    11.8,pymatching,b68236881196ace154b1a807251fafdd008cec34915be7742e2c9ce42e4dd23f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    12.2,pymatching,2e89b81b4d73ba94c3e319134bda34c7a02a80f0fb047922c55b7fa7f9e329cf,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":7,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    12.8,pymatching,f5e00f731ca01b9e204d4f4f28b77906ba601089dd450a89d167dadc7f1d25a4,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    10.4,pymatching,95492b50b6476d759f3ad44b2c713f02537a24a92b49d20f07b631b56c0b03af,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":27,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":729,""r"":108,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    11.5,pymatching,bf4d7cf67fd61bdf442775190ad4b94ca033d8a960f95c3778d9b7d08cbfee6d,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":27,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":729,""r"":108,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    10.9,pymatching,eca845e7713af3af43727d1acc5f7bc8fea033320ee6af37113230e502ace8fa,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":27,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":7,""q"":729,""r"":108,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    9.11,pymatching,a2a372f76b8f6cfd0d506e4e79aa9960a0691d23dea4795b2296fb876a65f464,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":28,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":784,""r"":112,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    9.39,pymatching,e10b5a86144d9a02a74ae35b21fa802893a2753a79002be9e03d147a690ef46b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":28,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":7,""q"":784,""r"":112,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    10.0,pymatching,d3190e36ca8044db57f7f358bc8adad916f954979f4c703a6c244d156ca98a24,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":28,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":784,""r"":112,""scheme"":""AdaptiveGrouping""}",
       200,         0,         0,   0.831,pymatching,00d26025ad58aef9c95af5e1256a0fc74e19144df13899d0f8460adb964837d2,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":7,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,   0.770,pymatching,dc9592796157c662d5555936ea63d05c90c80d079c93ae44f1488ae820eca050,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       200,         0,         0,   0.820,pymatching,2830907a7598962bb56c24cecfe624f8c2d3619c5a98454d4f537a4e1996cc9a,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       200,         0,         0,   0.869,pymatching,dc9592796157c662d5555936ea63d05c90c80d079c93ae44f1488ae820eca050,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,   0.740,pymatching,00d26025ad58aef9c95af5e1256a0fc74e19144df13899d0f8460adb964837d2,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":7,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       200,         0,         0,   0.813,pymatching,00d26025ad58aef9c95af5e1256a0fc74e19144df13899d0f8460adb964837d2,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":7,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,   0.723,pymatching,2830907a7598962bb56c24cecfe624f8c2d3619c5a98454d4f537a4e1996cc9a,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       200,         0,         0,   0.845,pymatching,dc9592796157c662d5555936ea63d05c90c80d079c93ae44f1488ae820eca050,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       200,         0,         0,   0.756,pymatching,2830907a7598962bb56c24cecfe624f8c2d3619c5a98454d4f537a4e1996cc9a,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       200,         0,         0,   0.910,pymatching,f5e00f731ca01b9e204d4f4f28b77906ba601089dd450a89d167dadc7f1d25a4,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,   0.851,pymatching,f5e00f731ca01b9e204d4f4f28b77906ba601089dd450a89d167dadc7f1d25a4,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping""}",
       200,         0,         0,   0.902,pymatching,f5e00f731ca01b9e204d4f4f28b77906ba601089dd450a89d167dadc7f1d25a4,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping""}",
       200,         0,         0,   0.812,pymatching,dc9592796157c662d5555936ea63d05c90c80d079c93ae44f1488ae820eca050,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       600,         0,         0,   0.973,pymatching,00d26025ad58aef9c95af5e1256a0fc74e19144df13899d0f8460adb964837d2,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":7,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       400,         0,         0,   0.949,pymatching,dc9592796157c662d5555936ea63d05c90c80d079c93ae44f1488ae820eca050,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
