     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         7,         0,    1.66,pymatching,451b8fc6346aeffbf4261fc933fc4b70c49d9510aa27fba56f0a5b76f15aa564,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""AdaptiveGrouping_d""}",
       200,        17,         0,   0.003,pymatching,451b8fc6346aeffbf4261fc933fc4b70c49d9510aa27fba56f0a5b76f15aa564,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""AdaptiveGrouping_d""}",
       600,        40,         0,   0.003,pymatching,451b8fc6346aeffbf4261fc933fc4b70c49d9510aa27fba56f0a5b76f15aa564,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""AdaptiveGrouping_d""}",
      1800,       122,         0,   0.004,pymatching,451b8fc6346aeffbf4261fc933fc4b70c49d9510aa27fba56f0a5b76f15aa564,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""AdaptiveGrouping_d""}",
      5400,       377,         0,   0.008,pymatching,451b8fc6346aeffbf4261fc933fc4b70c49d9510aa27fba56f0a5b76f15aa564,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""AdaptiveGrouping_d""}",
      6306,       410,         0,   0.008,pymatching,451b8fc6346aeffbf4261fc933fc4b70c49d9510aa27fba56f0a5b76f15aa564,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""AdaptiveGrouping_d""}",
       429,        34,         0,   0.003,pymatching,451b8fc6346aeffbf4261fc933fc4b70c49d9510aa27fba56f0a5b76f15aa564,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""AdaptiveGrouping_d""}",
       100,         0,         0,    1.80,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
       100,         0,         0,    1.34,pymatching,b119d058f8096823f85cf84520db3e0cb7cb431cb1b56f0d41bc583dde12ceb6,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping_d""}",
       200,         0,         0,   0.773,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
       200,         0,         0,   0.773,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
       100,         0,         0,    1.10,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
       100,         0,         0,    1.40,pymatching,9e0d34bc2650b3ca4fb4331ca8591a276b443cfde032ffefb8496180de5d8893,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":27,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":729,""r"":108,""scheme"":""AdaptiveGrouping_d""}",
       600,         0,         0,   0.912,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
      1000,         0,         0,    1.09,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
       600,         0,         0,    1.30,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
       200,         0,         0,   0.849,pymatching,b119d058f8096823f85cf84520db3e0cb7cb431cb1b56f0d41bc583dde12ceb6,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping_d""}",
       800,         0,         0,   0.999,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
       200,         0,         0,    1.20,pymatching,b119d058f8096823f85cf84520db3e0cb7cb431cb1b56f0d41bc583dde12ceb6,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping_d""}",
      2400,         0,         0,    1.55,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
       800,         0,         0,    1.02,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
       600,         0,         0,    1.37,pymatching,b119d058f8096823f85cf84520db3e0cb7cb431cb1b56f0d41bc583dde12ceb6,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping_d""}",
      1000,         0,         0,    1.17,pymatching,b119d058f8096823f85cf84520db3e0cb7cb431cb1b56f0d41bc583dde12ceb6,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping_d""}",
      4400,         0,         0,    2.43,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
      4800,         0,         0,    2.57,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
      5600,         0,         0,    2.91,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
      2400,         0,         0,    1.96,pymatching,f7951e102beb10683b16b1504836dbd0a9898417876f2073e147f6647e7fed1f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping_d""}",
      2200,         0,         0,    1.69,pymatching,b119d058f8096823f85cf84520db3e0cb7cb431cb1b56f0d41bc583dde12ceb6,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping_d""}",
