     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
27040,1005,0,0.022,pymatching,dc3a100cb1d6aab3d4cd4aa51f99c443aece4230ed616b606641bd21cfbdb16a,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":2,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":4,""r"":8,""surgery_hold_factor"":1}",
28644,1001,0,0.394,pymatching,ef556f0f8101de2b072335ee9073173674dbfb1d0011b0c6bf4d2334814c3801,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":2,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":4,""r"":8,""surgery_hold_factor"":9}",
14705,1005,0,0.376,pymatching,35b041436624aeacdc60af864258066d904e98a7d862feda9b81373275f874d5,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":9,""r"":12,""surgery_hold_factor"":1}",
14254,1004,0,0.277,pymatching,cdd23c0e9e754a68fdd1b56f2a576390170d0150c9307cf4938e3d38eb8cb2d7,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":9,""r"":12,""surgery_hold_factor"":9}",
26259,1002,0,0.121,pymatching,a8e0770309a4a5d12e05fb1ce54300796b818cc3c1bba91fad68b3a05e8eae97,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":4,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":16,""r"":16,""surgery_hold_factor"":1}",
29890,1071,0,0.132,pymatching,0c2c7ab096946d139b9626b72ee7140aa4c032ad5ce6308f17e583cfd27ad766,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":4,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":16,""r"":16,""surgery_hold_factor"":9}",
137235,1005,0,0.925,pymatching,bcd57316bec5fbd10b1f0098f7e07b32d5eef8a117393742b4f5e519d1e12994,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":5,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":25,""r"":20,""surgery_hold_factor"":1}",
136163,1017,0,0.722,pymatching,034b2b4ae07549082ef83fc8e2d6e03aaad2547c295a21c96a343780bf4c8ff6,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":5,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":25,""r"":20,""surgery_hold_factor"":9}",
148887,1001,0,1.36,pymatching,71d3336df38dccb6a1d7079c3048e228193c376ee79dbad67721ae1ba64ae040,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":6,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":36,""r"":24,""surgery_hold_factor"":1}",
156042,1004,0,1.46,pymatching,d8466ac3388cf4e90ba820ae40f28f5c184ad9137cee25ebb2f89b0524c8c9ad,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":6,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":36,""r"":24,""surgery_hold_factor"":9}",
259873,1017,0,3.71,pymatching,3ac1db2d61e9318b75304cc836d64d8cc8a0339ef283f1017c7bda7a6d0cafd3,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":7,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":49,""r"":28,""surgery_hold_factor"":1}",
266338,1022,0,3.56,pymatching,68e911021b94be6d78db0b59172331386e76955c14dc7365d0bb831e1ef0776f,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":7,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":49,""r"":28,""surgery_hold_factor"":9}",
391010,1018,0,6.94,pymatching,9b081058dda3e7193632d9136860cfc51676402b80d7909134fa59b35ee2070c,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":8,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":64,""r"":32,""surgery_hold_factor"":1}",
402254,1015,0,10.2,pymatching,884cc5025281d708eff5494590140a32d78f449501e411a713892c73a7c7c8a9,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":8,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":64,""r"":32,""surgery_hold_factor"":9}",
679512,1061,0,16.9,pymatching,5d5cd03cd1cf9c134a920884a20a5f4f1e1f9d3c35b0111930f39d6c143d9a20,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":9,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":81,""r"":36,""surgery_hold_factor"":1}",
646617,1006,0,16.5,pymatching,a49a9bf3b6f16aa85a14927446850edcf3c14a1aa7b5b52b6f63573da87a8413,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":9,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":81,""r"":36,""surgery_hold_factor"":9}",
1056956,1044,0,41.2,pymatching,3f3801afbe458bad7de84ec0e6119d32bad2eead259ffeaf93479eda5a319e74,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":10,""fractal_pitch"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":100,""r"":40,""surgery_hold_factor"":1}",
