     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         6,         0,    1.54,pymatching,a4d1f9d09ce5b9f2b6d598a53dce72e5702382616e31a1ed1a710f5296d0326e,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":9,""r"":12,""scheme"":""AdaptiveGrouping""}",
       200,         9,         0,   0.003,pymatching,a4d1f9d09ce5b9f2b6d598a53dce72e5702382616e31a1ed1a710f5296d0326e,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":9,""r"":12,""scheme"":""AdaptiveGrouping""}",
       600,        41,         0,   0.003,pymatching,a4d1f9d09ce5b9f2b6d598a53dce72e5702382616e31a1ed1a710f5296d0326e,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":9,""r"":12,""scheme"":""AdaptiveGrouping""}",
      1800,       118,         0,   0.004,pymatching,a4d1f9d09ce5b9f2b6d598a53dce72e5702382616e31a1ed1a710f5296d0326e,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":9,""r"":12,""scheme"":""AdaptiveGrouping""}",
      5400,       374,         0,   0.007,pymatching,a4d1f9d09ce5b9f2b6d598a53dce72e5702382616e31a1ed1a710f5296d0326e,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":9,""r"":12,""scheme"":""AdaptiveGrouping""}",
      6700,       452,         0,   0.009,pymatching,a4d1f9d09ce5b9f2b6d598a53dce72e5702382616e31a1ed1a710f5296d0326e,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":9,""r"":12,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    1.78,pymatching,52d12b6732ef2652dc51be6454d80fcdf0103aa1b2479b881e4000f4c6224b60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    1.24,pymatching,c382728350c210719d9ac01f3acd1c7be4513cfc689b656c0955e2650ea50d84,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping""}",
       200,         0,         0,   0.784,pymatching,52d12b6732ef2652dc51be6454d80fcdf0103aa1b2479b881e4000f4c6224b60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,   0.746,pymatching,52d12b6732ef2652dc51be6454d80fcdf0103aa1b2479b881e4000f4c6224b60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       200,         0,         0,    1.13,pymatching,52d12b6732ef2652dc51be6454d80fcdf0103aa1b2479b881e4000f4c6224b60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       100,         0,         0,    1.42,pymatching,9e6ff6f59563e73aa68fd0249c7c1f6d361f1b88b16a609aae28953ec3e137d4,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":27,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":729,""r"":108,""scheme"":""AdaptiveGrouping""}",
       600,         0,         0,   0.916,pymatching,52d12b6732ef2652dc51be6454d80fcdf0103aa1b2479b881e4000f4c6224b60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       800,         0,         0,   0.997,pymatching,52d12b6732ef2652dc51be6454d80fcdf0103aa1b2479b881e4000f4c6224b60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       200,         0,         0,    1.33,pymatching,c382728350c210719d9ac01f3acd1c7be4513cfc689b656c0955e2650ea50d84,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping""}",
      1200,         0,         0,    1.19,pymatching,52d12b6732ef2652dc51be6454d80fcdf0103aa1b2479b881e4000f4c6224b60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       400,         0,         0,   0.870,pymatching,52d12b6732ef2652dc51be6454d80fcdf0103aa1b2479b881e4000f4c6224b60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       200,         0,         0,    1.28,pymatching,c382728350c210719d9ac01f3acd1c7be4513cfc689b656c0955e2650ea50d84,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":676,""r"":104,""scheme"":""AdaptiveGrouping""}",
      2400,         0,         0,    1.69,pymatching,52d12b6732ef2652dc51be6454d80fcdf0103aa1b2479b881e4000f4c6224b60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
      2000,         0,         0,    1.58,pymatching,52d12b6732ef2652dc51be6454d80fcdf0103aa1b2479b881e4000f4c6224b60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
       800,         0,         0,    1.40,pymatching,52d12b6732ef2652dc51be6454d80fcdf0103aa1b2479b881e4000f4c6224b60,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":5,""q"":625,""r"":100,""scheme"":""AdaptiveGrouping""}",
