     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         5,         0,    1.38,pymatching,b2330563804ebc956a3cc0f06e717be0201a783cf0305594b871c1862abf32e8,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""FactorGrouping""}",
       200,        10,         0,   0.003,pymatching,b2330563804ebc956a3cc0f06e717be0201a783cf0305594b871c1862abf32e8,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""FactorGrouping""}",
       600,        45,         0,   0.003,pymatching,b2330563804ebc956a3cc0f06e717be0201a783cf0305594b871c1862abf32e8,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""FactorGrouping""}",
      1800,       118,         0,   0.004,pymatching,b2330563804ebc956a3cc0f06e717be0201a783cf0305594b871c1862abf32e8,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""FactorGrouping""}",
      5400,       398,         0,   0.008,pymatching,b2330563804ebc956a3cc0f06e717be0201a783cf0305594b871c1862abf32e8,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""FactorGrouping""}",
      5981,       410,         0,   0.008,pymatching,b2330563804ebc956a3cc0f06e717be0201a783cf0305594b871c1862abf32e8,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""FactorGrouping""}",
       229,        19,         0,   0.003,pymatching,b2330563804ebc956a3cc0f06e717be0201a783cf0305594b871c1862abf32e8,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":9,""r"":12,""scheme"":""FactorGrouping""}",
       100,         0,         0,    1.21,pymatching,330830f0b9d7b2ebabec3a26b65773d7de4dcb6c2d6b9b00db670e23bce7cd4a,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":676,""r"":104,""scheme"":""FactorGrouping""}",
       100,         0,         0,    2.24,pymatching,55ff76b7fe8e963b12f2e7697e6081f6352628fe32ea8bbf95a088c40e8d4049,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""FactorGrouping""}",
       200,         0,         0,   0.793,pymatching,55ff76b7fe8e963b12f2e7697e6081f6352628fe32ea8bbf95a088c40e8d4049,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":625,""r"":100,""scheme"":""FactorGrouping""}",
